Title,Type,Episodes,Aired Start,Aired End,Members,Score
Sousou no Frieren,TV,28,Sep 2023,Mar 2024,921643,9.32
Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009,Jul 2010,3427462,9.09
Bleach: Sennen Kessen-hen - Soukoku-tan,TV,N/A,Oct 2024,N/A,135631,9.07
Steins;Gate,TV,24,Apr 2011,Sep 2011,2625931,9.07
Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019,Jul 2019,2355796,9.05
Gintama°,TV,51,Apr 2015,Mar 2016,646958,9.05
Gintama: The Final,Movie,1,Jan 2021,Jan 2021,158276,9.04
Gintama',TV,51,Apr 2011,Mar 2012,570808,9.03
Hunter x Hunter (2011),TV,148,Oct 2011,Sep 2014,2922076,9.03
Gintama': Enchousen,TV,13,Oct 2012,Mar 2013,333057,9.02
Bleach: Sennen Kessen-hen,TV,13,Oct 2022,Dec 2022,585179,9.01
Ginga Eiyuu Densetsu,OVA,110,Jan 1988,Mar 1997,331455,9.01
Monogatari Series: Off & Monster Season,ONA,N/A,Jul 2024,N/A,71842,9.01
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Apr 2022,Jun 2022,978207,9.00
Gintama.,TV,12,Jan 2017,Mar 2017,322754,8.98
Fruits Basket: The Final,TV,13,Apr 2021,Jun 2021,500450,8.96
Clannad: After Story,TV,24,Oct 2008,Mar 2009,1216103,8.93
Gintama,TV,201,Apr 2006,Mar 2010,1088952,8.93
Koe no Katachi,Movie,1,Sep 2016,Sep 2016,2401981,8.93
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,TV,16,Oct 2024,N/A,264996,8.93
3-gatsu no Lion 2nd Season,TV,22,Oct 2017,Mar 2018,411041,8.91
Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008,Sep 2008,1823867,8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013,Jul 2013,245727,8.90
Look Back,Movie,1,Jun 2024,Jun 2024,59109,8.90
Kusuriya no Hitorigoto,TV,24,Oct 2023,Mar 2024,489657,8.89
Monster,TV,74,Apr 2004,Sep 2005,1173859,8.88
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018,Oct 2018,205195,8.88
Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,N/A,Mar 2023,Nov 2023,705498,8.88
Owarimonogatari 2nd Season,TV,N/A,Aug 2017,Aug 2017,409575,8.87
Violet Evergarden Movie,Movie,1,Sep 2020,Sep 2020,640610,8.85
Kimi no Na wa.,Movie,1,Aug 2016,Aug 2016,2816008,8.83
Kingdom 3rd Season,TV,26,Apr 2020,Oct 2021,109984,8.83
Vinland Saga Season 2,TV,24,Jan 2023,Jun 2023,674741,8.81
Gintama.: Shirogane no Tamashii-hen,TV,12,Jan 2018,Mar 2018,218826,8.81
Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,Jan 2024,Mar 2024,220479,8.80
Jujutsu Kaisen 2nd Season,TV,23,Jul 2023,Dec 2023,1070575,8.79
Mob Psycho 100 II,TV,13,Jan 2019,Apr 2019,1584293,8.79
Kizumonogatari III: Reiketsu-hen,Movie,1,Jan 2017,Jan 2017,476425,8.78
Shingeki no Kyojin: The Final Season,TV,16,Dec 2020,Mar 2021,2073081,8.78
Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001,Jul 2001,1900244,8.77
Bocchi the Rock!,TV,12,Oct 2022,Dec 2022,631288,8.77
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016,Dec 2016,1238407,8.77
Hajime no Ippo,TV,75,Oct 2000,Mar 2002,619645,8.77
Shingeki no Kyojin: The Final Season Part 2,TV,12,Jan 2022,Apr 2022,1362471,8.76
Vinland Saga,TV,24,Jul 2019,Dec 2019,1593133,8.76
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Dec 2022,Dec 2022,296013,8.76
Monogatari Series: Second Season,TV,26,Jul 2013,Dec 2013,683385,8.76
Cowboy Bebop,TV,26,Apr 1998,Apr 1999,1914832,8.75
The First Slam Dunk,Movie,1,Dec 2022,Dec 2022,53713,8.75
Hibike! Euphonium 3,TV,13,Apr 2024,Jun 2024,75278,8.74
Ashita no Joe 2,TV,47,Oct 1980,Aug 1981,55129,8.73
Kimetsu no Yaiba: Yuukaku-hen,TV,11,Dec 2021,Feb 2022,1518822,8.73
Kingdom 4th Season,TV,26,Apr 2022,Oct 2022,70165,8.73
Kingdom 5th Season,TV,13,Jan 2024,Mar 2024,41890,8.73
Shiguang Dailiren,ONA,11,Apr 2021,Jul 2021,395079,8.73
Mushishi Zoku Shou 2nd Season,TV,10,Oct 2014,Dec 2014,273331,8.72
One Piece,TV,N/A,Oct 1999,N/A,2441886,8.72
Mob Psycho 100 III,TV,12,Oct 2022,Dec 2022,729213,8.71
86 Part 2,TV,12,Oct 2021,Mar 2022,537440,8.71
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Jan 2017,Mar 2017,190932,8.71
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Feb 1999,Sep 1999,280926,8.70
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13,Jul 2023,Sep 2023,311297,8.70
Code Geass: Hangyaku no Lelouch,TV,25,Oct 2006,Jul 2007,2305863,8.70
Mushishi Zoku Shou,TV,10,Apr 2014,Jun 2014,306854,8.69
Mo Dao Zu Shi: Wanjie Pian,ONA,12,Aug 2021,Oct 2021,84313,8.68
Violet Evergarden,TV,13,Jan 2018,Apr 2018,1837867,8.68
Great Teacher Onizuka,TV,43,Jun 1999,Sep 2000,851474,8.68
Hajime no Ippo: New Challenger,TV,26,Jan 2009,Jul 2009,296637,8.67
Howl no Ugoku Shiro,Movie,1,Nov 2004,Nov 2004,1379893,8.67
Tian Guan Cifu Er,ONA,12,Oct 2023,Jan 2024,49530,8.67
Mononoke Hime,Movie,1,Jul 1997,Jul 1997,1288817,8.66
"""Oshi no Ko"" 2nd Season",TV,13,Jul 2024,Oct 2024,363267,8.66
Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,Feb 2024,Feb 2024,140874,8.66
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Aug 2020,Aug 2020,365107,8.65
Mushishi,TV,26,Oct 2005,Jun 2006,850153,8.65
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Oct 2021,Dec 2021,984849,8.65
Odd Taxi,TV,13,Apr 2021,Jun 2021,453229,8.65
Made in Abyss,TV,13,Jul 2017,Sep 2017,1427232,8.64
Natsume Yuujinchou Shi,TV,13,Jan 2012,Mar 2012,250701,8.64
Shigatsu wa Kimi no Uso,TV,22,Oct 2014,Mar 2015,2264716,8.64
Bungou Stray Dogs 5th Season,TV,11,Jul 2023,Sep 2023,204866,8.64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,Apr 2020,Jun 2020,1384300,8.63
Shiguang Dailiren II,ONA,12,Jul 2023,Sep 2023,124788,8.63
Shingeki no Kyojin Season 3,TV,12,Jul 2018,Oct 2018,2442112,8.63
Tengen Toppa Gurren Lagann,TV,27,Apr 2007,Sep 2007,1649211,8.63
Dandadan,TV,12,Oct 2024,N/A,291792,8.62
Death Note,TV,37,Oct 2006,Jun 2007,3998098,8.62
Haikyuu!! Second Season,TV,25,Oct 2015,Mar 2016,1468474,8.62
Made in Abyss: Retsujitsu no Ougonkyou,TV,12,Jul 2022,Sep 2022,471778,8.62
Ping Pong the Animation,TV,11,Apr 2014,Jun 2014,405423,8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,Jan 2020,Jan 2020,483755,8.61
Natsume Yuujinchou Roku,TV,11,Apr 2017,Jun 2017,191401,8.61
"""Oshi no Ko""",TV,11,Apr 2023,Jun 2023,877238,8.61
Cyberpunk: Edgerunners,ONA,10,Sep 2022,Sep 2022,824386,8.61
Dungeon Meshi,TV,24,Jan 2024,Jun 2024,386810,8.61
Hajime no Ippo: Rising,TV,25,Oct 2013,Mar 2014,269773,8.60
Suzumiya Haruhi no Shoushitsu,Movie,1,Feb 2010,Feb 2010,620450,8.60
Shin Evangelion Movie:||,Movie,1,Mar 2021,Mar 2021,387870,8.59
Kenpuu Denki Berserk,TV,25,Oct 1997,Apr 1998,689024,8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,May 2015,May 2015,131896,8.59
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,Jun 2019,Jun 2019,736473,8.59
Jujutsu Kaisen,TV,24,Oct 2020,Mar 2021,2678942,8.58
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,Apr 2009,Apr 2009,222575,8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,Oct 2018,Jul 2019,1059988,8.57
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,Oct 2020,Oct 2020,1607111,8.57
Kizumonogatari II: Nekketsu-hen,Movie,1,Aug 2016,Aug 2016,458001,8.57
Natsume Yuujinchou San,TV,13,Jul 2011,Sep 2011,258027,8.57
Doupo Cangqiong: San Nian Zhi Yue,ONA,13,Oct 2021,Jan 2022,8253,8.57
Yojouhan Shinwa Taikei,TV,11,Apr 2010,Jul 2010,462201,8.56
Kimi ni Todoke 3rd Season,ONA,5,Aug 2024,Aug 2024,71845,8.56
