AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
52991,Sousou no Frieren,TV,28,Sep 2023,Mar 2024,923638,9.32
60022,One Piece Fan Letter,TV,N/A,Oct 2024,Oct 2024,6192,9.14
5114,Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009,Jul 2010,3428511,9.09
9253,Steins;Gate,TV,24,Apr 2011,Sep 2011,2626726,9.07
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,TV,N/A,Oct 2024,N/A,138262,9.06
28977,Gintama°,TV,51,Apr 2015,Mar 2016,647108,9.05
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019,Jul 2019,2356574,9.05
39486,Gintama: The Final,Movie,1,Jan 2021,Jan 2021,158364,9.04
9969,Gintama',TV,51,Apr 2011,Mar 2012,570997,9.03
11061,Hunter x Hunter (2011),TV,148,Oct 2011,Sep 2014,2923165,9.03
15417,Gintama': Enchousen,TV,13,Oct 2012,Mar 2013,333138,9.02
41467,Bleach: Sennen Kessen-hen,TV,13,Oct 2022,Dec 2022,585688,9.01
820,Ginga Eiyuu Densetsu,OVA,110,Jan 1988,Mar 1997,331558,9.01
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Apr 2022,Jun 2022,978722,9.00
34096,Gintama.,TV,12,Jan 2017,Mar 2017,322842,8.98
42938,Fruits Basket: The Final,TV,13,Apr 2021,Jun 2021,500691,8.96
57864,Monogatari Series: Off & Monster Season,ONA,14,Jul 2024,Oct 2024,72671,8.94
28851,Koe no Katachi,Movie,1,Sep 2016,Sep 2016,2402686,8.93
4181,Clannad: After Story,TV,24,Oct 2008,Mar 2009,1216402,8.93
918,Gintama,TV,201,Apr 2006,Mar 2010,1089192,8.93
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,TV,16,Oct 2024,N/A,268068,8.93
35180,3-gatsu no Lion 2nd Season,TV,22,Oct 2017,Mar 2018,411141,8.91
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008,Sep 2008,1824251,8.91
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013,Jul 2013,245777,8.90
58125,Look Back,Movie,1,Jun 2024,Jun 2024,59890,8.90
54492,Kusuriya no Hitorigoto,TV,24,Oct 2023,Mar 2024,490458,8.89
19,Monster,TV,74,Apr 2004,Sep 2005,1174439,8.88
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018,Oct 2018,205253,8.88
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,N/A,Mar 2023,Nov 2023,706099,8.88
35247,Owarimonogatari 2nd Season,TV,N/A,Aug 2017,Aug 2017,409687,8.87
37987,Violet Evergarden Movie,Movie,1,Sep 2020,Sep 2020,640945,8.85
32281,Kimi no Na wa.,Movie,1,Aug 2016,Aug 2016,2816721,8.83
40682,Kingdom 3rd Season,TV,26,Apr 2020,Oct 2021,110059,8.82
49387,Vinland Saga Season 2,TV,24,Jan 2023,Jun 2023,675346,8.81
36838,Gintama.: Shirogane no Tamashii-hen,TV,12,Jan 2018,Mar 2018,218873,8.81
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,Jan 2024,Mar 2024,220940,8.79
51009,Jujutsu Kaisen 2nd Season,TV,23,Jul 2023,Dec 2023,1071934,8.79
37510,Mob Psycho 100 II,TV,13,Jan 2019,Apr 2019,1584824,8.79
31758,Kizumonogatari III: Reiketsu-hen,Movie,1,Jan 2017,Jan 2017,476556,8.78
40028,Shingeki no Kyojin: The Final Season,TV,16,Dec 2020,Mar 2021,2073860,8.78
199,Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001,Jul 2001,1900676,8.77
47917,Bocchi the Rock!,TV,12,Oct 2022,Dec 2022,631914,8.77
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016,Dec 2016,1238734,8.77
263,Hajime no Ippo,TV,75,Oct 2000,Mar 2002,619914,8.77
48583,Shingeki no Kyojin: The Final Season Part 2,TV,12,Jan 2022,Apr 2022,1363302,8.76
37521,Vinland Saga,TV,24,Jul 2019,Dec 2019,1593830,8.76
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Dec 2022,Dec 2022,296338,8.76
